dong,timestamp,pred_p10,pred_p50,pred_p90
신수동,2035-03-01,1766.223876953125,1769.95703125,1781.411865234375
신수동,2035-04-01,1456.388427734375,1463.1402587890625,1470.4599609375
신수동,2035-05-01,1581.412353515625,1586.53955078125,1594.4952392578125
신수동,2035-06-01,1663.281005859375,1667.42529296875,1677.030029296875
신수동,2035-07-01,1628.3828125,1632.19189453125,1638.839599609375
신수동,2035-08-01,1455.213623046875,1460.9017333984375,1466.856201171875
신수동,2035-09-01,1627.953125,1631.696044921875,1638.2021484375
신수동,2035-10-01,1647.5933837890625,1651.24853515625,1658.1968994140625
신수동,2035-11-01,1703.67138671875,1707.327392578125,1716.0614013671875
신수동,2035-12-01,1508.000732421875,1514.025146484375,1522.128173828125
신영동,2026-01-01,1602.623291015625,1607.8773193359375,1619.079345703125
신영동,2026-02-01,1845.54736328125,1847.802734375,1863.049560546875
신영동,2026-03-01,1781.8037109375,1785.63330078125,1797.3179931640625
신영동,2026-04-01,1456.964599609375,1463.87060546875,1471.460693359375
신영동,2026-05-01,1584.58203125,1589.8818359375,1598.0032958984375
신영동,2026-06-01,1667.52197265625,1671.842529296875,1681.185791015625
신영동,2026-07-01,1629.386474609375,1633.24853515625,1639.989990234375
신영동,2026-08-01,1454.8704833984375,1460.58349609375,1466.673095703125
신영동,2026-09-01,1630.69873046875,1634.4764404296875,1641.15771484375
신영동,2026-10-01,1651.3330078125,1655.0338134765625,1662.1357421875
신영동,2026-11-01,1704.3125,1708.0426025390625,1716.932373046875
신영동,2026-12-01,1505.8287353515625,1511.9271240234375,1520.218505859375
신영동,2027-01-01,1642.6787109375,1647.80810546875,1658.995849609375
신영동,2027-02-01,1851.069580078125,1853.363037109375,1868.026611328125
신영동,2027-03-01,1784.471435546875,1788.317138671875,1800.468994140625
신영동,2027-04-01,1456.3314208984375,1463.179931640625,1470.68310546875
신영동,2027-05-01,1582.8701171875,1588.146240234375,1596.189697265625
신영동,2027-06-01,1667.1171875,1671.404052734375,1680.767333984375
신영동,2027-07-01,1629.2730712890625,1633.11767578125,1639.837158203125
신영동,2027-08-01,1454.841064453125,1460.5447998046875,1466.602294921875
신영동,2027-09-01,1630.1666259765625,1633.9324951171875,1640.577392578125
신영동,2027-10-01,1650.56787109375,1654.2529296875,1661.322509765625
신영동,2027-11-01,1704.318359375,1708.0263671875,1716.878662109375
신영동,2027-12-01,1506.460205078125,1512.542236328125,1520.793701171875
신영동,2028-01-01,1642.805908203125,1647.904541015625,1659.02587890625
신영동,2028-02-01,1850.3798828125,1852.66943359375,1867.179931640625
신영동,2028-03-01,1781.3900146484375,1785.20751953125,1797.22216796875
신영동,2028-04-01,1455.934326171875,1462.76318359375,1470.228515625
신영동,2028-05-01,1582.660888671875,1587.8809814453125,1595.897705078125
신영동,2028-06-01,1666.8623046875,1671.119384765625,1680.47216796875
신영동,2028-07-01,1629.1107177734375,1632.9453125,1639.6480712890625
신영동,2028-08-01,1454.88818359375,1460.586181640625,1466.620849609375
신영동,2028-09-01,1629.718994140625,1633.47705078125,1640.091552734375
신영동,2028-10-01,1649.9346923828125,1653.609375,1660.65380859375
신영동,2028-11-01,1704.24560546875,1707.9381103515625,1716.76171875
신영동,2028-12-01,1506.85791015625,1512.927490234375,1521.14697265625
신영동,2029-01-01,1636.124267578125,1641.1798095703125,1652.1815185546875
신영동,2029-02-01,1847.6688232421875,1849.83984375,1864.69287109375
신영동,2029-03-01,1779.2510986328125,1783.05224609375,1794.994873046875
신영동,2029-04-01,1455.8623046875,1462.678466796875,1470.1158447265625
신영동,2029-05-01,1582.632080078125,1587.80615234375,1595.80810546875
신영동,2029-06-01,1666.5877685546875,1670.8232421875,1680.17236328125
신영동,2029-07-01,1628.958984375,1632.786865234375,1639.47705078125
신영동,2029-08-01,1454.9271240234375,1460.62158203125,1466.6383056640625
신영동,2029-09-01,1629.345703125,1633.0986328125,1639.68896484375
신영동,2029-10-01,1649.41650390625,1653.0838623046875,1660.108642578125
신영동,2029-11-01,1704.1484375,1707.830078125,1716.631103515625
신영동,2029-12-01,1507.123779296875,1513.183837890625,1521.3773193359375
신영동,2030-01-01,1634.807861328125,1639.8487548828125,1650.802978515625
신영동,2030-02-01,1847.054931640625,1849.221435546875,1863.97119140625
신영동,2030-03-01,1777.1920166015625,1780.98046875,1792.839111328125
신영동,2030-04-01,1456.062744140625,1462.8642578125,1470.27392578125
신영동,2030-05-01,1582.482666015625,1587.63427734375,1595.6246337890625
신영동,2030-06-01,1666.293212890625,1670.513427734375,1679.87744140625
신영동,2030-07-01,1628.825439453125,1632.64794921875,1639.3271484375
신영동,2030-08-01,1454.960693359375,1460.653076171875,1466.655029296875
신영동,2030-09-01,1629.0311279296875,1632.780517578125,1639.35107421875
신영동,2030-10-01,1648.98828125,1652.650634765625,1659.6595458984375
신영동,2030-11-01,1704.046875,1707.720703125,1716.503662109375
신영동,2030-12-01,1507.321533203125,1513.3736572265625,1521.545654296875
신영동,2031-01-01,1635.685546875,1640.712158203125,1651.6173095703125
신영동,2031-02-01,1846.59423828125,1848.77978515625,1863.3612060546875
신영동,2031-03-01,1775.44580078125,1779.2265625,1791.014892578125
신영동,2031-04-01,1456.21826171875,1463.00732421875,1470.393798828125
신영동,2031-05-01,1582.27197265625,1587.4124755859375,1595.3935546875
신영동,2031-06-01,1665.1015625,1669.277587890625,1678.797607421875
신영동,2031-07-01,1628.713134765625,1632.53173828125,1639.2027587890625
신영동,2031-08-01,1455.098388671875,1460.7889404296875,1466.77734375
신영동,2031-09-01,1628.72412109375,1632.472412109375,1639.024169921875
신영동,2031-10-01,1648.6143798828125,1652.2744140625,1659.271240234375
신영동,2031-11-01,1703.9765625,1707.64501953125,1716.415283203125
신영동,2031-12-01,1507.594970703125,1513.6376953125,1521.7911376953125
신영동,2032-01-01,1636.712890625,1641.726318359375,1652.583251953125
신영동,2032-02-01,1845.981201171875,1848.18505859375,1862.6240234375
신영동,2032-03-01,1773.9541015625,1777.730712890625,1789.4609375
신영동,2032-04-01,1456.3359375,1463.11474609375,1470.4815673828125
신영동,2032-05-01,1582.049560546875,1587.18408203125,1595.157958984375
신영동,2032-06-01,1664.59619140625,1668.7603759765625,1678.308349609375
신영동,2032-07-01,1628.619873046875,1632.43505859375,1639.0992431640625
신영동,2032-08-01,1455.1341552734375,1460.82373046875,1466.801513671875
신영동,2032-09-01,1628.489501953125,1632.23583984375,1638.7734375
신영동,2032-10-01,1648.30615234375,1651.963623046875,1658.94873046875
신영동,2032-11-01,1703.888916015625,1707.5528564453125,1716.311279296875
신영동,2032-12-01,1507.7230224609375,1513.760009765625,1521.8980712890625
신영동,2033-01-01,1637.60888671875,1642.6112060546875,1653.426025390625
