cluster,timestamp,var_p10,var_p50,var_p90
하락,2035-04-01,1227.2938723734292,1227.2938723734292,1227.2938723734292
하락,2035-05-01,1199.2853296490719,1199.2853296490719,1199.2853296490719
하락,2035-06-01,1197.2054178600679,1197.2054178600679,1197.2054178600679
하락,2035-07-01,1272.9453794419292,1272.9453794419292,1272.9453794419292
하락,2035-08-01,1344.9073780847812,1344.9073780847812,1344.9073780847812
하락,2035-09-01,1289.6594156272602,1289.6594156272602,1289.6594156272602
하락,2035-10-01,1347.4346185940935,1347.4346185940935,1347.4346185940935
하락,2035-11-01,1301.288103865169,1301.288103865169,1301.288103865169
하락,2035-12-01,1328.3910080400149,1328.3910080400149,1328.3910080400149
보합,2026-01-01,1525.2472087272688,1534.4643926682916,1543.6815766093146
보합,2026-02-01,1507.9033825065424,1549.029626739512,1590.1558709724814
보합,2026-03-01,1447.291090142031,1476.5734030673698,1505.8557159927086
보합,2026-04-01,1445.795047711102,1491.3411086942228,1536.887169677344
보합,2026-05-01,1460.9629042498673,1504.7293102686285,1548.4957162873898
보합,2026-06-01,1455.8823268186152,1508.6295238060516,1561.376720793488
보합,2026-07-01,1394.5533455108064,1471.392183379215,1548.2310212476239
보합,2026-08-01,1420.644081036854,1482.325484857643,1544.0068886784322
보합,2026-09-01,1380.3220645156428,1442.1930396488683,1504.064014782094
보합,2026-10-01,1287.8896772190565,1381.728217032663,1475.5667568462695
보합,2026-11-01,1366.3278885351992,1420.8524431491487,1475.3769977630984
보합,2026-12-01,1438.4406075927384,1472.8726231939304,1507.3046387951222
보합,2027-01-01,1428.526387021999,1463.997723293329,1499.4690595646591
보합,2027-02-01,1432.9722231003943,1462.960959132208,1492.9496951640217
보합,2027-03-01,1483.1122712657777,1491.1505351901906,1499.1887991146032
보합,2027-04-01,1488.7503537076348,1512.9967137943156,1537.2430738809965
보합,2027-05-01,1453.06429349836,1481.2679527482092,1509.4716119980585
보합,2027-06-01,1449.3926900028202,1487.7560089290055,1526.1193278551905
보합,2027-07-01,1482.5058715505775,1500.459049596095,1518.4122276416124
보합,2027-08-01,1500.5026840391092,1508.6846492849963,1516.8666145308832
보합,2027-09-01,1514.2580454173678,1523.620571021664,1532.9830966259601
보합,2027-10-01,1503.2570680072772,1521.6909481490047,1540.1248282907325
보합,2027-11-01,1514.1731404317995,1567.4031578239515,1620.6331752161034
보합,2027-12-01,1517.2048828689528,1577.147299822441,1637.0897167759292
보합,2028-01-01,1540.4381976982747,1619.2043906111128,1697.9705835239508
보합,2028-02-01,1560.2558815915545,1626.3197563261092,1692.3836310606637
보합,2028-03-01,1630.995624554594,1655.004768707533,1679.0139128604721
보합,2028-04-01,1642.7286949963313,1685.344070539947,1727.9594460835629
보합,2028-05-01,1647.2991809152982,1694.0955054009803,1740.8918298866624
보합,2028-06-01,1615.7258751766017,1666.686498597634,1717.647122018666
보합,2028-07-01,1610.1365204785388,1645.400316452852,1680.664112427165
보합,2028-08-01,1461.8232622402488,1512.2198756809516,1562.6164891216542
보합,2028-09-01,1537.5230998289167,1561.9708691974674,1586.4186385660184
보합,2028-10-01,1535.7199735662084,1543.7285377640474,1551.7371019618863
보합,2028-11-01,1445.425580850496,1466.1248834290914,1486.8241860076869
보합,2028-12-01,1475.3027727602241,1494.7232197163135,1514.143666672403
보합,2029-01-01,1431.2848046947004,1468.7206008710968,1506.1563970474933
보합,2029-02-01,1342.8152428638173,1420.981846802888,1499.1484507419589
보합,2029-03-01,1434.094518976984,1485.2625726016286,1536.430626226273
보합,2029-04-01,1467.61394258806,1518.9498030330851,1570.28566347811
보합,2029-05-01,1492.2743766780422,1538.1399797527636,1584.005582827485
보합,2029-06-01,1496.9662890953007,1548.5505348379634,1600.1347805806263
보합,2029-07-01,1499.3267122291434,1559.9836229574432,1620.640533685743
보합,2029-08-01,1504.2625281239973,1574.9405526026785,1645.6185770813597
보합,2029-09-01,1522.4924865457224,1596.5939478851915,1670.6954092246604
보합,2029-10-01,1499.2024771726851,1582.0983993379532,1664.994321503221
보합,2029-11-01,1527.4753406846817,1599.0775376168217,1670.6797345489615
보합,2029-12-01,1609.7844455041902,1648.341064049129,1686.8976825940679
보합,2030-01-01,1496.2123543637883,1577.332798920906,1658.4532434780238
보합,2030-02-01,1517.557781699989,1583.1979448930897,1648.8381080861905
보합,2030-03-01,1469.2185755879773,1547.1510822063933,1625.0835888248093
보합,2030-04-01,1487.512043722677,1554.657144764601,1621.8022458065252
보합,2030-05-01,1518.3520870989269,1564.7803068040425,1611.2085265091582
보합,2030-06-01,1552.2746550603335,1582.5113821661714,1612.7481092720093
보합,2030-07-01,1574.4517106968103,1581.9785086118363,1589.5053065268623
보합,2030-08-01,1582.108748823942,1596.4992956220553,1610.8898424201686
