dong,adf_stat,p_value,used_lag,n_obs,is_stationary
대치동,-2.43113255692991,0.36320309577544874,10,181,False
대현동,-2.43113255692991,0.36320309577544874,10,181,False
대흥동,-2.43113255692991,0.36320309577544874,10,181,False
도곡동,-2.43113255692991,0.36320309577544874,10,181,False
도림동,-2.43113255692991,0.36320309577544874,10,181,False
도봉동,-2.43113255692991,0.36320309577544874,10,181,False
도선동,-2.43113255692991,0.36320309577544874,10,181,False
도원동,-2.43113255692991,0.36320309577544874,10,181,False
도화동,-2.43113255692991,0.36320309577544874,10,181,False
독산동,-2.43113255692991,0.36320309577544874,10,181,False
돈암동,-2.43113255692991,0.36320309577544874,10,181,False
동빙고동,-2.43113255692991,0.36320309577544874,10,181,False
동숭동,-2.43113255692991,0.36320309577544874,10,181,False
동자동,-2.43113255692991,0.36320309577544874,10,181,False
동작동,-2.43113255692991,0.36320309577544874,10,181,False
둔촌동,-2.43113255692991,0.36320309577544874,10,181,False
등촌동,-2.43113255692991,0.36320309577544874,10,181,False
마곡동,-2.43113255692991,0.36320309577544874,10,181,False
마장동,-2.43113255692991,0.36320309577544874,10,181,False
마천동,-2.43113255692991,0.36320309577544874,10,181,False
마포동,-2.43113255692991,0.36320309577544874,10,181,False
망우동,-2.43113255692991,0.36320309577544874,10,181,False
망원동,-2.43113255692991,0.36320309577544874,10,181,False
면목동,-2.43113255692991,0.36320309577544874,10,181,False
명일동,-2.43113255692991,0.36320309577544874,10,181,False
목동,-2.43113255692991,0.36320309577544874,10,181,False
무악동,-2.43113255692991,0.36320309577544874,10,181,False
묵동,-2.43113255692991,0.36320309577544874,10,181,False
묵정동,-2.43113255692991,0.36320309577544874,10,181,False
문배동,-2.43113255692991,0.36320309577544874,10,181,False
문정동,-2.43113255692991,0.36320309577544874,10,181,False
미아동,-2.43113255692991,0.36320309577544874,10,181,False
반포동,-2.43113255692991,0.36320309577544874,10,181,False
방배동,-2.43113255692991,0.36320309577544874,10,181,False
방이동,-2.43113255692991,0.36320309577544874,10,181,False
방학동,-2.43113255692991,0.36320309577544874,10,181,False
방화동,-2.43113255692991,0.36320309577544874,10,181,False
번동,-2.43113255692991,0.36320309577544874,10,181,False
보광동,-2.43113255692991,0.36320309577544874,10,181,False
본동,-2.43113255692991,0.36320309577544874,10,181,False
봉천동,-2.43113255692991,0.36320309577544874,10,181,False
부암동,-2.43113255692991,0.36320309577544874,10,181,False
북가좌동,-2.43113255692991,0.36320309577544874,10,181,False
북아현동,-2.43113255692991,0.36320309577544874,10,181,False
불광동,-2.43113255692991,0.36320309577544874,10,181,False
사근동,-2.43113255692991,0.36320309577544874,10,181,False
사당동,-2.43113255692991,0.36320309577544874,10,181,False
사직동,-2.43113255692991,0.36320309577544874,10,181,False
산천동,-2.43113255692991,0.36320309577544874,10,181,False
