step,timestamp,N_scenarios,p5,p10,p25,p50,p75,p90,p95
144,2037-12-01,730,2530.3009702630816,2712.6041313350806,3031.2168845566566,3367.2844617321766,3764.6216777962645,4090.2927593739782,4258.544461981529
145,2038-01-01,730,2541.9741272780598,2713.68168623724,3038.5883818764464,3376.131022393371,3767.500382925014,4092.622080892525,4300.655369858787
146,2038-02-01,730,2525.7024486270516,2717.6872444958894,3044.7380779440628,3407.0023990938353,3789.967250804254,4126.99550234716,4317.469104577789
147,2038-03-01,730,2558.099239090895,2749.16081666667,3052.608144110534,3417.5491934747583,3814.236360405807,4144.069874605882,4315.296831256509
148,2038-04-01,730,2572.1873440560626,2748.165306831769,3060.699795880907,3431.477794864428,3821.559666062799,4153.891342589985,4353.395558631429
149,2038-05-01,730,2597.117526680534,2777.8679019641368,3079.6773275975083,3453.0153858954277,3848.3299105843407,4165.284373246268,4366.2257940129375
150,2038-06-01,730,2556.8242823526393,2760.65107445613,3088.8431418777564,3462.3564561729663,3853.973693415627,4184.793676258609,4385.493414235841
151,2038-07-01,730,2594.2631899675666,2789.5011585694806,3102.4713614284146,3496.9203372076963,3870.766722069936,4198.233422897923,4411.512473825304
152,2038-08-01,730,2622.473302938645,2813.904839745663,3125.0873627233527,3508.637919223719,3888.5395847825835,4226.243808970491,4412.8299022901565
153,2038-09-01,730,2608.1682430379824,2831.2367807299406,3131.5223425631357,3525.082319614852,3895.153010843018,4258.651236689512,4440.323568176266
154,2038-10-01,730,2626.2512912053817,2837.1994471680696,3142.972340510686,3540.9821789926154,3907.829882739239,4257.157185240792,4437.040957308664
155,2038-11-01,730,2644.1132685998264,2857.4195345199087,3165.1063468677694,3569.9152095688105,3912.1384020768396,4276.973222933254,4446.007695671691
156,2038-12-01,730,2631.1502008315974,2871.465709819194,3171.321169980505,3582.4548701231047,3932.9868469057947,4298.118442641748,4510.750405586535
157,2039-01-01,730,2637.8646973925966,2866.7108371974,3181.1798916441703,3597.1965377827464,3956.378777408818,4312.189829814637,4498.845113719423
158,2039-02-01,730,2628.3296807439665,2889.1212363463837,3201.378201083734,3604.828690671953,3978.511234727845,4323.371795190801,4511.703641793235
159,2039-03-01,730,2640.175082344601,2901.6002137025544,3213.551804808838,3628.915390271807,3979.4184073141364,4337.775872883214,4536.153880165464
160,2039-04-01,730,2639.988829633069,2906.7376902760966,3226.5836581693165,3636.748182560428,3983.998685595899,4356.245449887219,4562.548471178555
161,2039-05-01,730,2666.182890353738,2910.501689621636,3233.96470017068,3652.0377863905132,4017.625207160924,4375.955940093021,4580.999871365636
162,2039-06-01,730,2683.2974367198112,2918.1571049742415,3257.158225948712,3661.728743064531,4023.7279495940065,4386.755494297832,4570.503633820445
163,2039-07-01,730,2671.72705839634,2933.845777905091,3257.7928654286325,3663.6152993237165,4050.9089164198035,4416.525488257278,4592.617077633921
164,2039-08-01,730,2688.2332987113737,2940.177843215534,3275.8880473508225,3666.743863359973,4059.5257049012107,4430.429016771966,4633.3918872104405
165,2039-09-01,730,2681.373543118719,2951.616297546725,3290.5253458793522,3693.1189437070616,4067.909221087171,4447.795205096224,4656.6569194848535
166,2039-10-01,730,2732.423588147892,2960.77354528337,3310.3116127279745,3697.297489817809,4095.7326489066168,4471.759837283031,4673.999160822321
167,2039-11-01,730,2753.674120293069,2990.902658945761,3333.5550932780125,3722.9922815910013,4110.632768514343,4491.526968491788,4702.028056086673
168,2039-12-01,730,2760.7009183551327,3000.247240723244,3341.9348963678194,3727.592481273164,4126.522984285029,4521.386565903092,4715.5536291843755
169,2040-01-01,730,2768.952611467705,2984.5253197276506,3330.730138166162,3741.5267990753323,4123.106625404325,4517.102825683222,4754.328928132984
170,2040-02-01,730,2759.5559614513363,2999.019844447465,3369.5698896347367,3768.1145051155995,4138.201848444369,4550.39728401974,4747.248985544869
171,2040-03-01,730,2760.977399213237,2995.72238576288,3372.9140024417966,3774.4027333439844,4162.9953166026735,4568.984742480262,4767.480257472006
172,2040-04-01,730,2769.7403929788115,3007.3650368499534,3374.2534256287245,3789.4094104688556,4176.639660262172,4587.553049629344,4777.198889799226
173,2040-05-01,730,2774.4103410514203,3013.3947994360874,3391.381726742212,3802.384470767998,4192.566381625842,4584.716596068657,4751.886521926437
174,2040-06-01,730,2805.8090185503806,3022.196429193856,3396.114265590241,3817.054328686311,4205.866901333138,4603.331117068783,4787.605294264442
175,2040-07-01,730,2815.7647455202296,3047.1059877737375,3403.5515969377093,3826.0875096360905,4223.292530906347,4613.595837457324,4817.435959777943
176,2040-08-01,730,2830.0836292718914,3065.44591519068,3404.395297767831,3859.04171588298,4237.540290008958,4638.176169999196,4863.566688522047
177,2040-09-01,730,2848.4413429941587,3062.1271062831083,3427.371989454374,3861.558116435085,4259.460128139409,4674.945473067393,4863.685299440962
178,2040-10-01,730,2849.443499797182,3092.3658544030936,3434.2384645492284,3873.6720203700543,4277.8007637802875,4675.057418234191,4863.648722746911
179,2040-11-01,730,2840.682272117642,3105.2007887502546,3461.694199358062,3873.107311793792,4302.436072330266,4693.661676973815,4893.197221503283
180,2040-12-01,730,2892.952662946795,3121.515206626428,3465.5402528667996,3885.667183747427,4312.908845606386,4700.731983521005,4903.653485042895
181,2041-01-01,730,2878.8412860979383,3139.637066115272,3483.7322947219177,3887.334222558253,4325.774700058428,4712.437592019943,4933.236349307366
182,2041-02-01,730,2898.5448934045576,3147.270271920183,3482.149836165814,3891.434755572769,4339.408234722787,4718.629591142745,4953.702427947267
183,2041-03-01,730,2900.9893666972253,3136.2160919444514,3501.606595026257,3905.0619560916925,4382.044045704679,4763.686650388607,4983.808068081452
184,2041-04-01,730,2932.2920706768546,3171.5207702578723,3535.163254791104,3938.2520956356675,4377.423566122383,4764.383701137379,4990.767197440262
185,2041-05-01,730,2934.077313575681,3181.5558336098416,3556.6921735508586,3962.7388970417355,4397.09429884272,4775.798088268672,5012.438705173478
186,2041-06-01,730,2949.8652061724774,3181.891373323293,3549.192985516511,3974.60135928995,4409.858255148632,4794.874968860251,5027.36276816392
187,2041-07-01,730,2941.684544109176,3180.8651514296685,3572.598951781807,3988.458769026517,4417.667983149608,4812.7057510737795,5030.194488517968
188,2041-08-01,730,2980.824762405431,3196.9613197352724,3570.5686188295763,3995.174806339548,4446.001133693102,4845.491432686941,5040.855544075856
