hybrid_alpha,residual_decay,hybrid_quantile_shrink,rmse,mae,mape,coverage80,band_width,band_width_pct
0.6,0.8,0.6,115.54680645942622,89.51777452321433,5.879882149956232,88.88888888888889,395.6927342432827,26.17786805896096
0.6,0.8,0.8,115.54680645942622,89.51777452321433,5.879882149956232,88.88888888888889,396.7551009809615,26.248151119230872
0.6,0.8,1.0,115.54680645942622,89.51777452321433,5.879882149956232,88.88888888888889,397.8197774013936,26.31858698132184
1.0,0.5,0.8,116.10943003858748,88.88371538626491,5.830852987754893,94.44444444444444,396.642172983906,26.240680134926002
1.0,0.5,1.0,116.10943003858748,88.88371538626491,5.830852987754893,94.44444444444444,397.22091665221575,26.27896811465842
1.0,0.5,0.2,116.10943003858748,88.88371538626491,5.830852987754893,94.44444444444444,394.9197677801324,26.12673087008878
1.0,0.5,0.6,116.10943003858748,88.88371538626491,5.830852987754893,94.44444444444444,396.0638478704464,26.202419845552022
1.0,0.5,0.4,116.10943003858748,88.88371538626491,5.830852987754893,94.44444444444444,395.49083923479014,26.164511278720386
0.9,0.5,0.8,116.14227636322592,88.97410888752503,5.837571193902043,94.44444444444444,396.46383266554676,26.228881663739696
0.9,0.5,0.6,116.14227636322592,88.97410888752503,5.837571193902043,94.44444444444444,395.937820230184,26.19408222736229
0.9,0.5,0.4,116.14227636322592,88.97410888752503,5.837571193902043,94.44444444444444,395.41407587708335,26.159432840639752
0.9,0.5,0.2,116.14227636322592,88.97410888752503,5.837571193902043,94.44444444444444,394.8934342519495,26.124988721278243
0.9,0.5,1.0,116.14227636322592,88.97410888752503,5.837571193902043,94.44444444444444,396.9872314096166,26.263508185984758
0.8,0.5,0.2,116.20447894342868,89.08354267132316,5.8455081363590615,94.44444444444444,394.884427347698,26.124392850971034
0.8,0.5,0.4,116.20447894342868,89.08354267132316,5.8455081363590615,94.44444444444444,395.3458888626379,26.15492178821696
0.8,0.5,0.6,116.20447894342868,89.08354267132316,5.8455081363590615,94.44444444444444,395.80868216830373,26.185538832822193
0.8,0.5,0.8,116.20447894342868,89.08354267132316,5.8455081363590615,94.44444444444444,396.27126135278763,26.216141711799484
0.8,0.5,1.0,116.20447894342868,89.08354267132316,5.8455081363590615,94.44444444444444,396.7354518567575,26.246851190937086
0.7,0.5,1.0,116.28397370328771,89.19970844028666,5.8539219097775055,94.44444444444444,396.50807610829906,26.23180867984743
0.7,0.5,0.8,116.28397370328771,89.19970844028666,5.8539219097775055,94.44444444444444,396.09782465421466,26.204667649682804
0.7,0.5,0.6,116.28397370328771,89.19970844028666,5.8539219097775055,94.44444444444444,395.6877757196948,26.17754001761722
0.7,0.5,0.4,116.28397370328771,89.19970844028666,5.8539219097775055,94.44444444444444,395.2754639351916,26.150262682048954
0.7,0.5,0.2,116.28397370328771,89.19970844028666,5.8539219097775055,94.44444444444444,394.86305614099797,26.12297899476181
0.6,0.5,0.2,116.37526566731137,89.31788346480698,5.862513667131955,94.44444444444444,394.8248653103238,26.12045240167598
0.6,0.5,0.4,116.37526566731137,89.31788346480698,5.862513667131955,94.44444444444444,395.18256244673,26.144116592679683
0.6,0.5,0.8,116.37526566731137,89.31788346480698,5.862513667131955,94.44444444444444,395.895026553834,26.19125112353778
0.6,0.5,1.0,116.37526566731137,89.31788346480698,5.862513667131955,94.44444444444444,396.24753103020817,26.214571783418894
0.6,0.5,0.6,116.37526566731137,89.31788346480698,5.862513667131955,94.44444444444444,395.53948008531347,26.167729214398967
0.6,0.85,0.2,118.89282862458506,92.9370995204792,6.1168435000872705,88.88888888888889,395.331426904642,26.15396502759053
0.6,0.85,0.4,118.89282862458506,92.9370995204792,6.1168435000872705,88.88888888888889,396.7549871897208,26.248143591136902
0.6,0.85,0.6,118.89282862458506,92.9370995204792,6.1168435000872705,88.88888888888889,398.1824155519156,26.342578055294087
0.6,0.85,0.8,118.89282862458506,92.9370995204792,6.1168435000872705,88.88888888888889,399.6088788146761,26.436948671309846
0.6,0.85,1.0,118.89282862458506,92.9370995204792,6.1168435000872705,88.88888888888889,401.02484887305803,26.53062508777134
0.7,0.85,0.6,119.31363185021915,93.33868500055597,6.145633308456509,88.88888888888889,399.124390770007,26.40489636654932
